"Id";"timestamp";"deviceId";"address";"valueInt";"time_id"
2753006;2026-03-04 00:10:04.463;131108;81;38;3245771
2753349;2026-03-04 00:05:04.783;131109;81;37;3245766
2753733;2026-03-04 00:05:04.783;131109;81;37;3245766
2752975;2026-03-04 00:05:04.536;131108;81;38;3245766
2753317;2026-03-04 00:00:04.823;131109;81;37;3245761
2753701;2026-03-04 00:00:04.823;131109;81;37;3245761
2752944;2026-03-04 00:00:04.580;131108;81;39;3245761
2752888;2026-03-03 23:55:04.670;131109;81;38;3245756
2752504;2026-03-03 23:55:04.670;131109;81;38;3245756
2752120;2026-03-03 23:55:04.393;131108;81;38;3245756
2752472;2026-03-03 23:50:05.173;131109;81;38;3245751
2752856;2026-03-03 23:50:05.173;131109;81;38;3245751
2752089;2026-03-03 23:50:04.656;131108;81;38;3245751
2752440;2026-03-03 23:45:04.803;131109;81;38;3245746
2752824;2026-03-03 23:45:04.803;131109;81;38;3245746
2752058;2026-03-03 23:45:04.536;131108;81;38;3245746
2752408;2026-03-03 23:40:04.743;131109;81;38;3245741
2752792;2026-03-03 23:40:04.743;131109;81;38;3245741
2752027;2026-03-03 23:40:04.506;131108;81;39;3245741
2752358;2026-03-03 23:35:04.733;131109;81;38;3245736
2752742;2026-03-03 23:35:04.733;131109;81;38;3245736
2751986;2026-03-03 23:35:04.496;131108;81;39;3245736
2752728;2026-03-03 23:30:04.816;131109;81;38;3245731
2752344;2026-03-03 23:30:04.816;131109;81;38;3245731
2751965;2026-03-03 23:30:04.543;131108;81;37;3245731
2752312;2026-03-03 23:25:04.843;131109;81;38;3245726
2752696;2026-03-03 23:25:04.843;131109;81;38;3245726
2751934;2026-03-03 23:25:04.556;131108;81;38;3245726
2752664;2026-03-03 23:20:04.850;131109;81;39;3245721
2752280;2026-03-03 23:20:04.850;131109;81;39;3245721
2751903;2026-03-03 23:20:04.596;131108;81;39;3245721
2752248;2026-03-03 23:15:04.673;131109;81;37;3245716
2752632;2026-03-03 23:15:04.673;131109;81;37;3245716
2751872;2026-03-03 23:15:04.423;131108;81;39;3245716
2752216;2026-03-03 23:10:04.883;131109;81;39;3245711
2752600;2026-03-03 23:10:04.883;131109;81;39;3245711
2751841;2026-03-03 23:10:04.633;131108;81;39;3245711
2752184;2026-03-03 23:05:04.883;131109;81;38;3245706
2752568;2026-03-03 23:05:04.883;131109;81;38;3245706
2751810;2026-03-03 23:05:04.526;131108;81;39;3245706
2752152;2026-03-03 23:00:04.726;131109;81;39;3245701
2752536;2026-03-03 23:00:04.726;131109;81;39;3245701
2751779;2026-03-03 23:00:04.426;131108;81;39;3245701
2751339;2026-03-03 22:55:04.953;131109;81;38;3245696
2751723;2026-03-03 22:55:04.953;131109;81;38;3245696
2750955;2026-03-03 22:55:04.560;131108;81;38;3245696
2751691;2026-03-03 22:50:04.650;131109;81;39;3245691
2751307;2026-03-03 22:50:04.650;131109;81;39;3245691
2750924;2026-03-03 22:50:04.406;131108;81;38;3245691
2751275;2026-03-03 22:45:04.833;131109;81;38;3245686
2751659;2026-03-03 22:45:04.833;131109;81;38;3245686
2750893;2026-03-03 22:45:04.596;131108;81;39;3245686
2751627;2026-03-03 22:40:04.826;131109;81;39;3245681
